23-101-463-2;Benjamin;Multi Media;7;8;6;8.5;1
23-101-464-9;Daniel;Multi Media;8.5;6.4;8.3;9;1
23-101-465-8;Emily;Multi Media;3.8;2.2;3.5;2;0
23-101-466-7;Emma;Multi Media;7;8;3;2;0
23-101-467-6;Georgia;Multi Media;5;6;4;5;1
23-101-468-5;Grace;Multi Media;7;3;4;8;1
23-101-469-4;Hannah;Multi Media;3;3;4;4;1
23-101-470-3;Jack;Multi Media;6;4;2;4;0
23-101-471-2;Jacob;Multi Media;5;4;6;5;1
23-101-472-9;James;Multi Media;7;4;4;6;1
23-101-473-8;Jessica;Multi Media;6;4;2;5;0
23-101-474-7;Joshua;Multi Media;8;6;5;2;0
23-101-475-6;Liam;Multi Media;7;7;6;4;1
23-101-476-5;Matthew;Multi Media;6;2;8;8;0
23-101-477-4;Olivia;Multi Media;7;4;7;7;1
23-101-478-3;Samantha;Multi Media;6;7;6;8;1
23-101-479-2;Samuel;Multi Media;4;8;6;3;1
23-101-480-9;Sarah;Multi Media;5;5;4;3;1
